account_id,customer_id,device_id,device_type_id,location_id,localization_id,protocol_id,asset_id,tunein,tuneout,fact_timestamp,duration,resume,create_timestamp,modified_timestamp
989,500000024,627,274,27,11,2,3647,31/08/21 11:10,31/08/21 11:13,31/08/21 11:10,3,1,31/08/21 11:15,
243,JAMESJOHN,1363,120,4,14,0,4289,31/08/21 16:13,31/08/21 16:36,31/08/21 16:13,23,0,31/08/21 16:45,
243,JAMESJOHN,1363,120,4,14,0,4303,31/08/21 19:09,31/08/21 19:34,31/08/21 19:09,25,0,31/08/21 19:45,
243,JAMESJOHN,1363,120,4,14,0,4303,31/08/21 18:45,31/08/21 19:08,31/08/21 19:00,8,0,31/08/21 19:15,
243,JAMESJOHN,1363,120,4,14,0,4303,31/08/21 18:45,31/08/21 19:08,31/08/21 18:45,15,0,31/08/21 19:15,
243,JAMESJOHN,1363,120,4,14,0,4305,31/08/21 18:09,31/08/21 18:32,31/08/21 18:09,23,0,31/08/21 18:45,
243,JAMESJOHN,1363,120,4,14,0,4309,31/08/21 17:22,31/08/21 17:48,31/08/21 17:22,26,0,31/08/21 18:00,
122,VNTEST2,1407,120,2,14,0,11651,31/08/21 17:22,31/08/21 17:44,31/08/21 17:22,22,0,31/08/21 18:00,
122,VNTEST2,1407,120,2,14,0,11661,31/08/21 18:02,31/08/21 18:23,31/08/21 18:02,21,0,31/08/21 18:30,
61,AJOSEPH,1018,120,2,9,0,12754,02/09/21 14:47,02/09/21 14:50,02/09/21 14:47,3,0,02/09/21 15:00,
201,ds2user1,1415,119,7,11,0,12830,02/09/21 15:36,02/09/21 15:42,02/09/21 15:36,6,0,02/09/21 15:45,
201,ds2user1,722,263,7,11,2,12830,01/09/21 19:08,01/09/21 19:16,01/09/21 19:08,8,0,01/09/21 19:15,
201,ds2user1,1417,120,7,11,0,12830,01/09/21 19:07,01/09/21 19:13,01/09/21 19:07,6,0,01/09/21 19:15,
201,ds2user1,1004,120,7,11,0,15391,01/09/21 19:08,01/09/21 19:13,01/09/21 19:08,5,0,01/09/21 19:15,
122,VNTEST2,1407,120,2,14,0,22959,01/09/21 6:54,01/09/21 9:21,01/09/21 9:00,21,0,01/09/21 9:30,
122,VNTEST2,1407,120,2,14,0,22959,01/09/21 6:54,01/09/21 9:21,01/09/21 8:00,60,0,01/09/21 9:30,
122,VNTEST2,1407,120,2,14,0,22959,01/09/21 6:54,01/09/21 9:21,01/09/21 7:00,60,0,01/09/21 9:30,
122,VNTEST2,1407,120,2,14,0,22959,01/09/21 6:54,01/09/21 9:21,01/09/21 6:54,6,0,01/09/21 9:30,
122,VNTEST2,957,119,2,14,0,23065,26/08/21 8:57,26/08/21 9:42,26/08/21 9:00,42,0,26/08/21 9:45,
122,VNTEST2,957,119,2,14,0,23065,26/08/21 8:57,26/08/21 9:42,26/08/21 8:57,3,0,26/08/21 9:45,
243,JAMESJOHN,440,221,4,14,2,23127,24/08/21 15:16,24/08/21 15:20,24/08/21 15:16,4,0,24/08/21 15:30,
201,ds2user1,1004,120,7,11,0,23151,25/08/21 4:51,25/08/21 4:56,25/08/21 4:51,5,0,25/08/21 5:00,
122,VNTEST2,1407,120,2,14,0,23656,31/08/21 16:11,31/08/21 17:19,31/08/21 17:00,19,0,31/08/21 17:30,
122,VNTEST2,1407,120,2,14,0,23656,31/08/21 16:11,31/08/21 17:19,31/08/21 16:11,49,0,31/08/21 17:30,
989,500000024,627,274,27,11,2,23659,01/09/21 1:51,01/09/21 1:58,01/09/21 1:51,7,1,01/09/21 2:00,
61,AJOSEPH,1018,120,2,9,0,23739,24/08/21 21:03,24/08/21 21:10,24/08/21 21:03,7,0,24/08/21 21:15,
243,JAMESJOHN,1363,120,4,14,0,23749,31/08/21 13:54,31/08/21 15:47,31/08/21 15:00,47,0,31/08/21 16:00,
243,JAMESJOHN,1363,120,4,14,0,23749,31/08/21 13:54,31/08/21 15:47,31/08/21 14:00,60,0,31/08/21 16:00,
243,JAMESJOHN,1363,120,4,14,0,23749,31/08/21 13:54,31/08/21 15:47,31/08/21 13:54,6,0,31/08/21 16:00,
61,AJOSEPH,1052,120,2,9,0,23749,27/08/21 8:55,27/08/21 9:06,27/08/21 9:00,6,0,27/08/21 9:15,
61,AJOSEPH,1052,120,2,9,0,23749,27/08/21 8:55,27/08/21 9:06,27/08/21 8:55,5,0,27/08/21 9:15,
122,VNTEST2,957,119,2,14,0,23749,26/08/21 13:23,26/08/21 14:15,26/08/21 14:00,15,0,26/08/21 14:30,
122,VNTEST2,957,119,2,14,0,23749,26/08/21 13:23,26/08/21 14:15,26/08/21 13:23,37,0,26/08/21 14:30,
122,VNTEST2,957,119,2,14,0,23749,26/08/21 13:18,26/08/21 13:23,26/08/21 13:18,5,0,26/08/21 13:30,
122,VNTEST2,957,119,2,14,0,23749,26/08/21 13:12,26/08/21 13:17,26/08/21 13:12,5,0,26/08/21 13:30,
122,VNTEST2,957,119,2,14,0,23749,26/08/21 13:10,26/08/21 13:12,26/08/21 13:10,2,0,26/08/21 13:15,
61,AJOSEPH,1018,120,2,9,0,23749,24/08/21 19:29,24/08/21 21:02,24/08/21 21:00,2,0,24/08/21 21:15,
61,AJOSEPH,1018,120,2,9,0,23749,24/08/21 19:29,24/08/21 21:02,24/08/21 20:00,60,0,24/08/21 21:15,
61,AJOSEPH,1018,120,2,9,0,23749,24/08/21 19:29,24/08/21 21:02,24/08/21 19:29,31,0,24/08/21 21:15,
61,AJOSEPH,1018,120,2,9,0,23749,24/08/21 19:05,24/08/21 19:21,24/08/21 19:05,16,0,24/08/21 19:30,
61,AJOSEPH,1018,120,2,9,0,23749,24/08/21 19:03,24/08/21 19:05,24/08/21 19:03,2,0,24/08/21 19:15,
61,AJOSEPH,1018,120,2,9,0,23749,24/08/21 18:55,24/08/21 18:59,24/08/21 18:55,4,0,24/08/21 19:15,
201,ds2user1,1124,119,7,11,0,23749,24/08/21 14:23,24/08/21 14:28,24/08/21 14:23,5,0,24/08/21 14:30,
201,ds2user1,1124,119,7,11,0,23749,24/08/21 14:10,24/08/21 14:16,24/08/21 14:10,6,0,24/08/21 14:30,
121,VNTEST1,1412,120,4,11,0,23763,02/09/21 18:48,02/09/21 20:47,02/09/21 20:00,47,0,02/09/21 21:00,
121,VNTEST1,1412,120,4,11,0,23763,02/09/21 18:48,02/09/21 20:47,02/09/21 19:00,60,0,02/09/21 21:00,
121,VNTEST1,1412,120,4,11,0,23763,02/09/21 18:48,02/09/21 20:47,02/09/21 18:48,12,0,02/09/21 21:00,
121,VNTEST1,1412,120,4,11,0,23763,02/09/21 16:45,02/09/21 18:46,02/09/21 18:00,46,0,02/09/21 19:00,
121,VNTEST1,1412,120,4,11,0,23763,02/09/21 16:45,02/09/21 18:46,02/09/21 17:00,60,0,02/09/21 19:00,
121,VNTEST1,1412,120,4,11,0,23763,02/09/21 16:45,02/09/21 18:46,02/09/21 16:45,15,0,02/09/21 19:00,
243,JAMESJOHN,1363,120,4,14,0,23763,31/08/21 11:33,31/08/21 13:34,31/08/21 13:00,34,0,31/08/21 13:45,
243,JAMESJOHN,1363,120,4,14,0,23763,31/08/21 11:33,31/08/21 13:34,31/08/21 12:00,60,0,31/08/21 13:45,
243,JAMESJOHN,1363,120,4,14,0,23763,31/08/21 11:33,31/08/21 13:34,31/08/21 11:33,27,0,31/08/21 13:45,
201,ds2user1,1237,264,7,11,2,23791,26/08/21 14:12,26/08/21 14:28,26/08/21 14:12,16,1,26/08/21 14:30,
201,ds2user1,1326,267,7,11,2,23795,30/08/21 18:21,30/08/21 18:32,30/08/21 18:21,11,0,30/08/21 18:45,
61,AJOSEPH,902,247,2,9,2,24331,24/08/21 21:22,24/08/21 21:36,24/08/21 21:22,14,1,24/08/21 21:45,
61,AJOSEPH,902,247,2,9,2,24331,24/08/21 21:13,24/08/21 21:22,24/08/21 21:13,9,0,24/08/21 21:30,
61,AJOSEPH,902,247,2,9,2,24331,24/08/21 21:03,24/08/21 21:13,24/08/21 21:03,10,0,24/08/21 21:15,
122,VNTEST2,1407,120,2,14,0,24488,31/08/21 13:23,31/08/21 14:32,31/08/21 14:00,32,0,31/08/21 14:45,
122,VNTEST2,1407,120,2,14,0,24488,31/08/21 13:23,31/08/21 14:32,31/08/21 13:23,37,0,31/08/21 14:45,
122,VNTEST2,1407,120,2,14,0,24496,31/08/21 14:45,31/08/21 15:52,31/08/21 15:00,52,0,31/08/21 16:00,
122,VNTEST2,1407,120,2,14,0,24496,31/08/21 14:45,31/08/21 15:52,31/08/21 14:45,15,0,31/08/21 16:00,
122,VNTEST2,1407,120,2,14,0,24530,31/08/21 11:24,31/08/21 13:01,31/08/21 13:00,1,0,31/08/21 13:15,
122,VNTEST2,1407,120,2,14,0,24530,31/08/21 11:24,31/08/21 13:01,31/08/21 12:00,60,0,31/08/21 13:15,
122,VNTEST2,1407,120,2,14,0,24530,31/08/21 11:24,31/08/21 13:01,31/08/21 11:24,36,0,31/08/21 13:15,
122,VNTEST2,1407,120,2,14,0,24530,31/08/21 9:40,31/08/21 11:22,31/08/21 11:00,22,0,31/08/21 11:30,
243,JAMESJOHN,1363,120,4,14,0,24530,31/08/21 10:05,31/08/21 11:29,31/08/21 11:00,29,0,31/08/21 11:30,
243,JAMESJOHN,1363,120,4,14,0,24530,31/08/21 10:05,31/08/21 11:29,31/08/21 10:05,55,0,31/08/21 11:30,
122,VNTEST2,1407,120,2,14,0,24530,31/08/21 9:40,31/08/21 11:22,31/08/21 10:00,60,0,31/08/21 11:30,
122,VNTEST2,1407,120,2,14,0,24530,31/08/21 9:40,31/08/21 11:22,31/08/21 9:40,20,0,31/08/21 11:30,
989,500000024,628,254,27,11,2,24530,29/08/21 18:24,29/08/21 18:28,29/08/21 18:24,4,1,29/08/21 18:30,
121,VNTEST1,1412,120,4,11,0,24653,01/09/21 7:45,01/09/21 9:23,01/09/21 9:00,23,0,01/09/21 9:30,
121,VNTEST1,1412,120,4,11,0,24653,01/09/21 7:45,01/09/21 9:23,01/09/21 8:00,60,0,01/09/21 9:30,
121,VNTEST1,1412,120,4,11,0,24653,01/09/21 7:45,01/09/21 9:23,01/09/21 7:45,15,0,01/09/21 9:30,
968,500000011,627,254,27,11,2,24682,24/08/21 12:53,24/08/21 13:14,24/08/21 13:00,14,0,24/08/21 13:15,
968,500000011,627,254,27,11,2,24682,24/08/21 12:53,24/08/21 13:14,24/08/21 12:53,7,0,24/08/21 13:15,
201,ds2user1,1407,120,7,11,0,24688,01/09/21 18:57,01/09/21 19:07,01/09/21 19:00,7,0,01/09/21 19:15,
201,ds2user1,1407,120,7,11,0,24688,01/09/21 18:57,01/09/21 19:07,01/09/21 18:57,3,0,01/09/21 19:15,
989,500000024,209,276,27,11,2,27238,02/09/21 0:04,02/09/21 0:26,02/09/21 0:04,22,0,02/09/21 0:30,
201,ds2user1,1407,120,7,11,0,30484,02/09/21 18:23,02/09/21 18:26,02/09/21 18:23,3,0,02/09/21 18:30,
201,ds2user1,1018,120,7,11,0,30484,02/09/21 15:27,02/09/21 15:29,02/09/21 15:27,2,0,02/09/21 15:30,
201,ds2user1,440,221,7,11,2,30496,01/09/21 19:17,01/09/21 19:21,01/09/21 19:17,4,0,01/09/21 19:30,
243,JAMESJOHN,1363,120,4,14,0,31614,01/09/21 7:31,01/09/21 7:56,01/09/21 7:31,25,0,01/09/21 9:00,
243,JAMESJOHN,1363,120,4,14,0,31614,31/08/21 19:37,31/08/21 20:22,31/08/21 20:00,22,0,31/08/21 20:30,
243,JAMESJOHN,1363,120,4,14,0,31614,31/08/21 19:37,31/08/21 20:22,31/08/21 19:37,23,0,31/08/21 20:30,
61,AJOSEPH,1018,120,2,9,0,34002,01/09/21 13:47,01/09/21 13:49,01/09/21 13:47,2,0,01/09/21 14:15,
989,500000024,628,274,27,11,2,35035,30/08/21 19:12,30/08/21 19:19,30/08/21 19:12,7,1,30/08/21 19:30,
989,500000024,627,274,27,11,2,35159,31/08/21 11:20,31/08/21 11:26,31/08/21 11:20,6,1,31/08/21 11:30,
201,ds2user1,1411,120,7,11,0,35807,01/09/21 9:21,01/09/21 10:16,01/09/21 10:00,16,0,01/09/21 10:30,
201,ds2user1,1411,120,7,11,0,35807,01/09/21 9:21,01/09/21 10:16,01/09/21 9:21,39,0,01/09/21 10:30,
201,ds2user1,1411,120,7,11,0,35807,01/09/21 8:21,01/09/21 9:16,01/09/21 9:00,16,0,01/09/21 9:30,
201,ds2user1,1411,120,7,11,0,35807,01/09/21 8:21,01/09/21 9:16,01/09/21 8:21,39,0,01/09/21 9:30,
201,ds2user1,1411,120,7,11,0,35813,01/09/21 10:48,01/09/21 11:36,01/09/21 11:00,36,0,01/09/21 11:45,
201,ds2user1,1411,120,7,11,0,35813,01/09/21 10:48,01/09/21 11:36,01/09/21 10:48,12,0,01/09/21 11:45,
201,ds2user1,1411,120,7,11,0,35825,01/09/21 7:29,01/09/21 8:19,01/09/21 8:00,19,0,01/09/21 9:00,
201,ds2user1,1411,120,7,11,0,35825,01/09/21 7:29,01/09/21 8:19,01/09/21 7:29,31,0,01/09/21 9:00,
201,ds2user1,1408,119,7,11,0,36422,31/08/21 6:21,31/08/21 9:57,31/08/21 9:00,57,0,31/08/21 10:00,
201,ds2user1,1408,119,7,11,0,36422,31/08/21 6:21,31/08/21 9:57,31/08/21 8:00,60,0,31/08/21 10:00,
201,ds2user1,1408,119,7,11,0,36422,31/08/21 6:21,31/08/21 9:57,31/08/21 7:00,60,0,31/08/21 10:00,
201,ds2user1,1408,119,7,11,0,36422,31/08/21 6:21,31/08/21 9:57,31/08/21 6:21,39,0,31/08/21 10:00,
989,500000024,666,169,27,11,2,36955,30/08/21 5:50,30/08/21 6:16,30/08/21 6:00,16,1,30/08/21 9:15,
989,500000024,666,169,27,11,2,36955,30/08/21 5:50,30/08/21 6:16,30/08/21 5:50,10,1,30/08/21 9:15,
989,500000024,627,254,27,11,2,36977,30/08/21 18:54,30/08/21 18:56,30/08/21 18:54,2,1,30/08/21 19:00,
201,ds2user1,1398,119,7,11,0,37005,30/08/21 5:33,30/08/21 5:48,30/08/21 5:33,15,0,30/08/21 9:15,
201,ds2user1,1411,120,7,11,0,37057,01/09/21 6:50,01/09/21 6:54,01/09/21 6:50,4,0,01/09/21 9:00,
